id,credit_card_number,name_on_card,expiration_month,expiration_year,cvv,gratuity_amount
1,1234567890120001,'Adey',1,2000,100,0
2,1234567890120002,'Adi',2,2001,101,100
6,1234567890120006,'Adiana',3,2002,102,200
7,1234567890120007,'Aaren',4,2003,103,300
11,1234567890120011,'Aarika',5,2004,104,400
12,1234567890120012,'Abagael',6,2005,105,500
16,1234567890120016,'Abagail',7,2006,106,600
17,1234567890120017,'Abbe',8,2007,107,700
21,1234567890120021,'Abbey',9,2008,108,800
22,1234567890120022,'Abbi',10,2009,109,900
